market;funding_total_usd;status;country_code;city;funding_rounds;founded_year;seed;venture;equity_crowdfunding;undisclosed;convertible_note;debt_financing;angel;grant;private_equity;product_crowdfunding;round_A;round_B;round_C;round_D;round_E;round_F;round_G;round_H
431;1629549;0;22;1;1;2013;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
431;1600000;0;112;3008;1;2010;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
491;1719583;0;20;1326;2;2011;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
739;75000;0;16;889;1;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;133620;0;53;398;1;2008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
211;500000;0;112;4009;2;2010;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
156;5740000;0;112;3128;2;2005;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
59;1465000;0;112;113;1;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;28000;0;112;3265;1;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703;250000;0;112;3008;1;2013;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
278;503000;0;112;2106;2;2011;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;4500000;0;81;98;2;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1;1200000;0;112;737;2;2011;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
703;7500;0;1;1;1;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;240000;0;1;1;2;2013;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
198;35000000;0;112;3263;3;2009;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
642;909940;0;112;2364;3;2010;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;169500000;0;112;3117;3;1986;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
305;150000;0;112;113;1;2009;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703;750000;0;112;2979;1;2012;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
200;400000;0;112;3054;1;2009;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;1250000;0;112;1980;1;1997;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
642;2670000;0;93;2327;2;2011;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
703;30000;0;1;1;1;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
717;732064;0;1;1;1;2001;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
431;2065000;0;49;229;2;2006;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
307;750000;0;112;2560;1;2009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431;1700000;0;47;512;2;2009;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
454;20000000;0;112;3364;1;2003;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
431;746185;0;22;275;2;2005;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
597;13708150;0;22;1444;3;2006;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
425;4000000;0;112;3265;1;2005;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
740;65000000;1;112;3303;3;2004;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
21;1500000;1;1;1;1;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;25920000;0;112;1158;4;2006;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
642;1011601;0;112;564;3;2007;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;1500000;0;22;1;2;2010;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
431;1394250;0;39;2445;1;2005;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
176;5000000;0;36;238;2;2007;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
59;390000;0;112;3265;3;2011;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
642;2000000;0;112;184;1;2008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;15152514;0;40;1;1;2007;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;1000000;0;112;3303;1;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;15000000;1;112;3364;3;1999;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
642;272000;0;50;169;1;2003;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
490;25500000;0;50;1007;1;2004;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
591;56567194;0;112;3265;6;2002;0;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0
262;3393925;0;112;807;2;2007;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
466;1000;0;18;3029;1;2013;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;2234979;0;112;3561;5;2009;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
234;6246800;0;1;1;2;1997;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
409;81000;0;112;3263;1;2014;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
238;1050000;0;112;170;3;2008;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
425;750000;0;112;224;1;2010;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
591;38064570;1;112;3269;4;2004;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
234;800000;0;112;3265;2;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;1000000;0;112;3778;1;2004;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;17400000;0;112;3265;4;2011;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
59;37956999;0;112;3943;3;2011;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
278;450000;0;112;3457;1;1991;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;20900;0;112;820;1;2005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431;3378975;0;112;1568;1;2005;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
97;9416354;1;112;3616;6;2006;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
8;70288000;0;112;3276;8;2004;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0
414;1000000;0;1;1;1;2012;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
305;60000000;0;112;2882;4;2005;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431;10000000;0;1;1;1;2011;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
376;50000;0;112;3544;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;7000000;0;112;3921;1;2011;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
8;1121081;0;40;3614;4;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
515;762500;0;16;3193;1;2013;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
154;385980;0;30;316;1;2012;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
642;250000;0;112;2438;1;2004;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;440000;0;112;2560;2;2012;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
75;80000;0;1;1;2;2013;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
124;180000;0;112;1230;1;2013;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;12900000;1;112;3265;6;2010;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
703;100000;0;1;1;1;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
519;9325000;0;19;3745;2;2009;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
642;27000000;0;22;3390;3;2005;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
558;2928257;0;22;1;1;2009;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
200;9300000;0;22;1759;3;2002;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
308;389673;0;22;3399;1;2012;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
490;20000000;0;22;3390;2;2006;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
206;65100000;0;22;275;4;2011;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
278;1500000;0;22;275;2;2007;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
642;3000000;0;1;1;1;2011;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;200000000;0;22;275;2;2010;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
519;30000000;1;22;1445;2;2005;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
642;876780000;0;22;670;6;2005;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
738;5100000;0;40;2099;1;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
674;6100000;0;112;3364;2;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
739;368750;0;1;1;1;2007;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
717;12800000;1;112;2560;3;2007;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
628;15873;0;40;2099;1;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;50000;0;112;423;1;2006;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
278;3987693;1;60;3377;2;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
191;250000;0;112;2560;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431;7000000;0;112;3265;1;2008;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
439;3000000;0;112;3155;1;2009;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
360;17129760;1;112;3364;4;2009;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
256;1300000;1;40;1062;3;2009;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
154;100000;0;112;2456;1;2010;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
642;3050000;0;112;718;3;2013;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
740;2000000;0;112;3265;1;2009;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
234;25250000;0;112;3020;5;2008;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0
703;100000;0;112;637;1;2009;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
431;1000000;0;1;1;2;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
528;12000000;0;112;3265;2;2013;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
703;4000000;0;112;3265;1;2013;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;6700000;1;112;2438;2;2004;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
278;52588928;0;45;629;2;2008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;23857750;0;30;316;5;2010;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
200;6528902;0;112;184;3;2006;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
59;1613014;0;112;1027;1;1997;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
612;2450000;0;112;1230;5;2011;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
528;190035;0;38;1128;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;3107198;0;1;1;1;2011;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
154;650000;0;84;3970;1;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703;2875000;0;112;3272;1;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
410;1500000;0;112;2825;1;2012;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
94;11110000;0;112;337;5;2009;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
628;47566;0;40;3621;1;2011;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
454;20100000;1;40;2099;4;2004;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
278;1136548;0;22;275;1;2003;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
642;460775;0;112;3364;2;2013;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
278;3989751;0;22;3399;3;2008;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
740;9850000;0;112;41;4;2006;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
601;600000;0;112;2359;2;2009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
549;269260;0;81;98;2;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
512;18500000;0;45;1622;3;2012;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
740;34000000;0;22;275;3;2004;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
200;100000;0;112;3510;1;2012;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
307;5100000;0;112;2576;1;2011;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
182;27000000;0;112;2560;2;2012;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
8;140000;0;40;2099;2;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
243;200000;0;1;1;1;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
674;79501;0;95;3432;2;2014;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
